Номер	Имя	Широта	Долгота
1	Почтовая гостиница	53.4541615	36.9092745
2	католическая церковь	59.9356088	30.329101
3	Жадом	53.8484834	36.2060794
4	Лаговчина	53.5476674	36.472999
5	Лужники	55.7157342	37.5553761
6	Лафертов	55.757401	37.704933
7	второй Лог	53.805952	36.9221859
8	Гусевская роща	54.1067162	36.375432
9	Нескучное	55.7176027	37.5879908
10	Уезд	54.9141529	41.5288526
11	Ставец	50.8855505	22.5277986
12	Спасская башня	55.7525262	37.6213528
13	Одоев	53.936798	36.687901
14	Больница у Церкви	54.1097517	37.1144392
15	Кремль	54.1950973	37.6203201
16	Касимов	54.939693	41.39518
17	Гауптвахта у Воскресенских ворот	55.7556544	37.6180114
18	Триумфальные ворота	55.7367805	37.5199889
19	Гремячево	54.0212496	38.2140688
20	Савелка	55.9887972	37.2218808
21	Траслея	55.223525	42.296897
22	железная дорога	55.4122269	37.4124298
23	Севастополь	44.6054434	33.5220842
24	Католическая церковь	59.9356088	30.329101
25	Завод Лихтембер	59.904425	30.2798667
26	дом Самарина	55.662066	37.3242899
27	Село Поляны	54.7179038	39.8308038
28	Александровский сад	55.7524027	37.6086825
29	Ока	54.8685795	39.4079332
30	Микульки	54.6107498	39.7295316
31	Александринский дворец	55.7205084	37.5934709
32	Ходынское поле	55.7886103	37.5302075
33	Петровский дворец	59.881847	29.912041
34	Английский клуб	55.7728466	37.5960678
35	Черная речка	59.9872268	30.3009041
36	Тула	54.1930321	37.61754
37	Плавица	52.245598	40.343937
38	Москва-река	55.5193801	36.0186921
39	3-е отделение	59.8310818	30.1934203
40	Муром	55.5792902	42.0527689
41	Варшавская дорога	52.2274779	20.9993834
42	Кобылинка	53.791283	38.019337
43	оранжереи у Олсуфьевых на Девичьем поле	55.0594107	38.7431936
44	Расва	57.7479331	26.9854678
45	Газетный переулок	55.7576521	37.6087705
46	Пучьковский лес	55.4824375	37.2656522
47	Калуга	54.5101087	36.2598115
48	Царицын луг	53.4645113	36.6976803
49	Салаврев	55.621922	37.4241868
50	Красное Село	55.777447	37.65416
51	Тверская застава	55.7754043	37.5818251
52	Вороновские рощи	55.419608	35.6738916
53	Москва	55.625578	37.6063916
54	Шуваловский завод	60.0201224	30.3321486
55	оранжерея купцов Алексеевых	55.7358276	37.5777048
56	Ижевское	54.558819	40.874447
57	Богородицк	53.773571	38.126965
58	Рязань	54.6702523	39.6884424
59	сахарный завод	53.6892517	38.1971913
60	Белев	53.811798	36.137001
61	острова	59.9747335	30.2725636
62	Выкса	55.318774	42.1800408
63	Воейковское имение	53.1948426	44.0336476
64	Алексеевское	55.8148783	37.6506684
65	Новое	55.5559331	38.1950097
66	парк у Дворца	59.8804937	29.9395131
67	Покровское	56.6330288	35.9057059
68	Сергиевское	57.00107	35.3983004
69	Нева	59.8354498	30.5614758
70	Степная	53.598506	37.0496618
71	театр	55.7597497	37.6206313
72	Воскресенское	54.104519	37.113045
73	дом Обольянинова	59.9472551	30.3785635
74	Сахарный Завод	53.6892517	38.1971913
75	село Дмитровское	56.9884067	35.4423451
76	Владимир	56.1288899	40.4075203
77	Волюк	54.6078258	37.5474467
78	Болотское	55.0278436	36.6431948
79	Воскресенские ворота	55.7556544	37.6180114
80	Чернь	53.450928	36.910103
81	Гостиница Демидова	59.942936	30.2797941
82	Петербург	59.9606739	30.1586551
83	Bratowa	50.986497	17.1320476
84	Тихонова пустынь	54.6405832	36.1521078
85	Воробьевы горы	55.7044118	37.5340627
86	хутор	53.9660348	37.4685389
87	Захлебовка	52.1548239	40.3260848
88	Снаведь	55.114914	42.049835
